Model,N,InferenceTime_ms
MLP_NN,10,0.980055017862469
LSTM,10,28.226101014297456
XGBoost,10,1.4481350081041455
MLP_NN,10,1.0585400159470737
LSTM,10,28.577379998750985
XGBoost,10,1.661746995523572
MLP_NN,10,1.078100991435349
LSTM,10,28.001095983199775
XGBoost,10,1.5781529946252704
MLP_NN,10,0.9979629539884627
LSTM,10,27.950811956543475
XGBoost,10,2.2861690376885235
MLP_NN,10,1.0800330201163888
LSTM,10,27.194972964935005
XGBoost,10,1.411216042470187
MLP_NN,10,0.994478992652148
LSTM,10,27.422326966188848
XGBoost,10,1.3204279821366072
MLP_NN,10,1.0153210023418069
LSTM,10,27.46291900984943
XGBoost,10,1.382859016302973
MLP_NN,10,0.99171296460554
LSTM,10,28.041343030054122
XGBoost,10,1.3498810003511608
MLP_NN,10,1.0325390030629933
LSTM,10,30.217025021556765
XGBoost,10,2.2474260185845196
MLP_NN,10,1.003512996248901
LSTM,10,28.988945996388793
XGBoost,10,1.4526770100928843
MLP_NN,10,1.0077920160256326
LSTM,10,28.218562016263604
XGBoost,10,1.4336759923025966
MLP_NN,10,1.042487972881645
LSTM,10,27.712132956366986
XGBoost,10,1.4948479947634041
MLP_NN,10,0.9616059833206236
LSTM,10,27.61523303342983
XGBoost,10,1.4862929820083082
MLP_NN,10,0.9678779751993716
LSTM,10,28.097036003600806
XGBoost,10,1.3991589657962322
MLP_NN,10,1.0068770498037338
LSTM,10,27.75715698953718
XGBoost,10,1.3779979781247675
MLP_NN,10,1.0115269687958062
LSTM,10,28.54149299673736
XGBoost,10,2.3077710065990686
MLP_NN,10,1.4213190297596157
LSTM,10,28.10454403515905
XGBoost,10,1.3769090292043984
MLP_NN,10,1.028150029014796
LSTM,10,29.052923957351595
XGBoost,10,1.3758949935436249
MLP_NN,10,1.0177329531870782
LSTM,10,28.0340850003995
XGBoost,10,1.3574670301750302
MLP_NN,10,0.9787969756871462
LSTM,10,28.927011997438967
XGBoost,10,1.4101089909672737
